NEIGHBOURHOOD_NAME,year,count
RENFREW-COLLINGWOOD,1990,15
RENFREW-COLLINGWOOD,1989,40
RILEY PARK,2017,3401
RILEY PARK,2013,39
RILEY PARK,2012,67
RILEY PARK,2011,84
RILEY PARK,2010,175
RILEY PARK,2009,200
RILEY PARK,2008,163
RILEY PARK,2007,100
RILEY PARK,2006,44
RILEY PARK,2005,155
RILEY PARK,2004,169
RILEY PARK,2003,67
RILEY PARK,2002,88
RILEY PARK,2001,330
RILEY PARK,2000,225
RILEY PARK,1999,92
RILEY PARK,1998,66
RILEY PARK,1997,134
RILEY PARK,1996,76
RILEY PARK,1995,118
RILEY PARK,1994,37
RILEY PARK,1993,143
RILEY PARK,1992,41
RILEY PARK,1991,56
RILEY PARK,1990,7
SHAUGHNESSY,2017,3858
SHAUGHNESSY,2013,64
SHAUGHNESSY,2012,133
SHAUGHNESSY,2011,112
SHAUGHNESSY,2010,65
SHAUGHNESSY,2009,115
SHAUGHNESSY,2008,62
SHAUGHNESSY,2007,44
SHAUGHNESSY,2006,34
SHAUGHNESSY,2005,124
SHAUGHNESSY,2004,165
SHAUGHNESSY,2003,116
SHAUGHNESSY,2002,83
SHAUGHNESSY,2001,55
SHAUGHNESSY,2000,96
SHAUGHNESSY,1999,134
SHAUGHNESSY,1998,155
SHAUGHNESSY,1997,73
SHAUGHNESSY,1996,87
SHAUGHNESSY,1995,74
SHAUGHNESSY,1994,36
SHAUGHNESSY,1993,26
SHAUGHNESSY,1992,22
SHAUGHNESSY,1991,2
SHAUGHNESSY,1990,1
SHAUGHNESSY,1989,2
SOUTH CAMBIE,2017,1405
SOUTH CAMBIE,2013,18
SOUTH CAMBIE,2012,46
SOUTH CAMBIE,2011,56
SOUTH CAMBIE,2010,34
SOUTH CAMBIE,2009,125
SOUTH CAMBIE,2008,73
SOUTH CAMBIE,2007,11
SOUTH CAMBIE,2006,44
SOUTH CAMBIE,2005,61
SOUTH CAMBIE,2004,99
SOUTH CAMBIE,2003,19
SOUTH CAMBIE,2002,20
SOUTH CAMBIE,2001,86
SOUTH CAMBIE,2000,213
SOUTH CAMBIE,1999,129
SOUTH CAMBIE,1998,76
SOUTH CAMBIE,1997,143
SOUTH CAMBIE,1996,106
SOUTH CAMBIE,1995,75
SOUTH CAMBIE,1994,8
SOUTH CAMBIE,1993,46
SOUTH CAMBIE,1992,9
SOUTH CAMBIE,1991,34
SOUTH CAMBIE,1990,4
STRATHCONA,2017,1108
STRATHCONA,2013,60
STRATHCONA,2012,65
STRATHCONA,2011,31
STRATHCONA,2010,28
STRATHCONA,2009,21
STRATHCONA,2008,12
STRATHCONA,2007,48
STRATHCONA,2006,46
STRATHCONA,2005,43
STRATHCONA,2004,31
STRATHCONA,2003,12
STRATHCONA,2002,10
STRATHCONA,2001,31
STRATHCONA,2000,14
STRATHCONA,1999,26
STRATHCONA,1998,84
STRATHCONA,1997,8
STRATHCONA,1996,27
STRATHCONA,1995,158
STRATHCONA,1994,8
STRATHCONA,1993,43
STRATHCONA,1992,8
SUNSET,2017,3803
SUNSET,2013,47
SUNSET,2012,256
